BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
7023     7525     6924     1787     -8.9800000799e+02    -1.5286866363e+03    70.23       42.6  
7124     7631     7023     1814     -8.9800000799e+02    -1.5286866363e+03    70.23       44.0  
7224     7738     7123     1841     -8.9800000799e+02    -1.5286866363e+03    70.23       45.4  
7328     7845     7227     1867     -8.9800000799e+02    -1.5286866363e+03    70.23       46.7  
7427     7953     7326     1894     -8.9800000799e+02    -1.5286866363e+03    70.23       48.1  
7532     8060     7431     1921     -8.9800000799e+02    -1.5286866363e+03    70.23       49.4  
7638     8166     7537     1948     -8.9800000799e+02    -1.5286866363e+03    70.23       50.7  
7745     8273     7644     1975     -8.9800000799e+02    -1.5286866363e+03    70.23       52.1  
7852     8380     7751     2002     -8.9800000799e+02    -1.5286866363e+03    70.23       53.4  
7958     8486     7857     2029     -8.9800000799e+02    -1.5286866363e+03    70.23       54.8  
8063     8593     7962     2056     -8.9800000799e+02    -1.5286866363e+03    70.23       56.1  
8163     8693     8062     2080     -8.9800000799e+02    -1.5286866363e+03    70.23       57.4  
8257     8800     8156     2107     -8.9800000799e+02    -1.5286866363e+03    70.23       58.7  
8350     8907     8249     2134     -8.9800000799e+02    -1.5286866363e+03    70.23       60.0  
8443     9014     8342     2161     -8.9800000799e+02    -1.5286866363e+03    70.23       61.3  
8538     9121     8437     2188     -8.9800000799e+02    -1.5286866363e+03    70.23       62.6  
8641     9228     8540     2211     -8.9800000799e+02    -1.5286866363e+03    70.23       63.9  
8735     9336     8634     2225     -8.9800000799e+02    -1.5286866363e+03    70.23       65.3  
8829     9444     8728     2239     -8.9800000799e+02    -1.5286866363e+03    70.23       66.6  
8920     9552     8819     2253     -8.9800000799e+02    -1.5286866363e+03    70.23       67.9  
9001     9660     8900     2267     -8.9800000799e+02    -1.5286866363e+03    70.23       69.2  
9082     9769     8981     2281     -8.9800000799e+02    -1.5286866363e+03    70.23       70.5  
9163     9878     9062     2295     -8.9800000799e+02    -1.5286866363e+03    70.23       71.8  
9245     9986     9144     2309     -8.9800000799e+02    -1.5286866363e+03    70.23       73.1  
9350     10093    9249     2335     -8.9800000799e+02    -1.5286866363e+03    70.23       74.4  
9457     10200    9356     2363     -8.9800000799e+02    -1.5286866363e+03    70.23       75.6  
9556     10308    9455     2391     -8.9800000799e+02    -1.5286866363e+03    70.23       76.9  
9661     10416    9560     2419     -8.9800000799e+02    -1.5286866363e+03    70.23       78.2  
9767     10523    9666     2447     -8.9800000799e+02    -1.5286866363e+03    70.23       79.5  
9874     10630    9771     2475     -8.9800000799e+02    -1.5286866363e+03    70.23       80.7  
9975     10731    9868     2501     -8.9800000799e+02    -1.5286866363e+03    70.23       81.1  
10072    10840    9965     2529     -8.9800000799e+02    -1.5286866363e+03    70.23       81.4  
10168    10950    10061    2557     -8.9800000799e+02    -1.5286866363e+03    70.23       81.8  
10267    11059    10158    2585     -8.9800000799e+02    -1.5286866363e+03    70.23       82.1  
10375    11167    10266    2613     -8.9800000799e+02    -1.5286866363e+03    70.23       82.4  
10483    11275    10374    2641     -8.9800000799e+02    -1.5286866363e+03    70.23       82.8  
10591    11383    10482    2669     -8.9800000799e+02    -1.5286866363e+03    70.23       83.1  
10699    11491    10590    2697     -8.9800000799e+02    -1.5286866363e+03    70.23       83.5  
10807    11599    10698    2725     -8.9800000799e+02    -1.5286866363e+03    70.23       83.8  
10914    11706    10805    2753     -8.9800000799e+02    -1.5286866363e+03    70.23       84.1  
11020    11812    10911    2781     -8.9800000799e+02    -1.5286866363e+03    70.23       84.5  
11126    11918    11017    2809     -8.9800000799e+02    -1.5286866363e+03    70.23       84.8  
11232    12024    11123    2837     -8.9800000799e+02    -1.5286866363e+03    70.23       85.2  
11333    12131    11224    2865     -8.9800000799e+02    -1.5286866363e+03    70.23       85.5  
11436    12238    11327    2893     -8.9800000799e+02    -1.5286866363e+03    70.23       85.9  
11543    12345    11434    2921     -8.9800000799e+02    -1.5286866363e+03    70.23       86.2  
11650    12452    11541    2949     -8.9800000799e+02    -1.5286866363e+03    70.23       86.5  
11757    12559    11648    2977     -8.9800000799e+02    -1.5286866363e+03    70.23       86.9  
11864    12666    11755    3005     -8.9800000799e+02    -1.5286866363e+03    70.23       87.2  
11971    12773    11862    3033     -8.9800000799e+02    -1.5286866363e+03    70.23       87.6  
12073    12876    11964    3059     -8.9800000799e+02    -1.5286866363e+03    70.23       87.9  
12171    12983    12062    3078     -8.9800000799e+02    -1.5286866363e+03    70.23       88.3  
12267    13091    12158    3097     -8.9800000799e+02    -1.5286866363e+03    70.23       88.6  
12365    13198    12256    3116     -8.9800000799e+02    -1.5286866363e+03    70.23       89.0  
12463    13306    12354    3135     -8.9800000799e+02    -1.5286866363e+03    70.23       89.3  
12561    13413    12452    3154     -8.9800000799e+02    -1.5286866363e+03    70.23       89.6  
12659    13521    12550    3173     -8.9800000799e+02    -1.5286866363e+03    70.23       90.0  
12760    13628    12651    3195     -8.9800000799e+02    -1.5286866363e+03    70.23       90.3  
12867    13735    12758    3223     -8.9800000799e+02    -1.5286866363e+03    70.23       90.7  
12974    13842    12865    3251     -8.9800000799e+02    -1.5286866363e+03    70.23       91.0  
13081    13949    12972    3279     -8.9800000799e+02    -1.5286866363e+03    70.23       91.3  
13188    14056    13079    3307     -8.9800000799e+02    -1.5286866363e+03    70.23       91.7  
13294    14163    13185    3335     -8.9800000799e+02    -1.5286866363e+03    70.23       92.0  
13401    14270    13292    3363     -8.9800000799e+02    -1.5286866363e+03    70.23       92.4  
13508    14377    13399    3391     -8.9800000799e+02    -1.5286866363e+03    70.23       92.7  
13615    14484    13506    3419     -8.9800000799e+02    -1.5286866363e+03    70.23       93.0  
13722    14591    13613    3447     -8.9800000799e+02    -1.5286866363e+03    70.23       93.4  
13829    14698    13720    3475     -8.9800000799e+02    -1.5286866363e+03    70.23       93.7  
13936    14805    13827    3503     -8.9800000799e+02    -1.5286866363e+03    70.23       94.1  
14034    14905    13925    3529     -8.9800000799e+02    -1.5286866363e+03    70.23       94.4  
14141    15012    14032    3557     -8.9800000799e+02    -1.5286866363e+03    70.23       94.8  
14247    15119    14134    6        -8.9800000799e+02    -1.5053503519e+03    67.63       95.5  
14354    15226    14241    10       -8.9800000799e+02    -1.4755584224e+03    64.32       97.1  
14462    15334    14349    17       -8.9800000799e+02    -1.4755584224e+03    64.32       98.6  
14570    15442    14457    11       -8.9800000799e+02    -1.4736831285e+03    64.11       100.1 
14676    15551    14563    8        -8.9800000799e+02    -1.4590821644e+03    62.48       101.6 
14783    15660    14670    10       -8.9800000799e+02    -1.4319203303e+03    59.46       103.2 
14890    15767    14777    13       -8.9800000799e+02    -1.4206168554e+03    58.20       104.7 
14997    15874    14884    14       -8.9800000799e+02    -1.3947093818e+03    55.31       106.1 
15104    15981    14991    14       -8.9800000799e+02    -1.3822680916e+03    53.93       107.6 
15212    16089    15099    13       -8.9800000799e+02    -1.3822680880e+03    53.93       109.0 
15319    16196    15206    13       -8.9800000799e+02    -1.3813030338e+03    53.82       110.5 
15427    16304    15314    17       -8.9800000799e+02    -1.3784012645e+03    53.50       112.0 
15534    16411    15421    13       -8.9800000799e+02    -1.3761710747e+03    53.25       113.5 
15641    16518    15528    22       -8.9800000799e+02    -1.3716102197e+03    52.74       114.9 
15748    16625    15635    16       -8.9800000799e+02    -1.3716102197e+03    52.74       116.3 
15855    16732    15742    11       -8.9800000799e+02    -1.3685975889e+03    52.41       117.7 
15961    16839    15848    14       -8.9800000799e+02    -1.3631998830e+03    51.80       119.0 
16067    16946    15954    16       -8.9800000799e+02    -1.3604666539e+03    51.50       120.4 
