BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
1127     4291     331      27       -1.0200000000e+03    -1.1800244143e+03    15.69       6.9   
1143     4307     331      27       -1.0200000000e+03    -1.1800244143e+03    15.69       6.9   
1155     4319     331      27       -1.0200000000e+03    -1.1800244143e+03    15.69       6.9   
1167     4330     331      27       -1.0200000000e+03    -1.1800244143e+03    15.69       6.9   
1178     4341     331      27       -1.0200000000e+03    -1.1800244143e+03    15.69       6.9   
1204     4557     351      34       -1.0200000000e+03    -1.1800214754e+03    15.69       7.1   
1236     4795     373      32       -1.0200000000e+03    -1.1789339113e+03    15.58       7.3   
1286     4960     405      36       -1.0200000000e+03    -1.1788388192e+03    15.57       7.5   
1324     5092     435      38       -1.0200000000e+03    -1.1788144930e+03    15.57       7.6   
1385     5242     474      42       -1.0200000000e+03    -1.1783586370e+03    15.53       7.7   
1443     5370     506      43       -1.0200000000e+03    -1.1783454417e+03    15.52       7.9   
1496     5504     537      45       -1.0200000000e+03    -1.1780420138e+03    15.49       8.0   
1531     5621     558      47       -1.0200000000e+03    -1.1780420138e+03    15.49       8.2   
1588     5754     597      50       -1.0200000000e+03    -1.1775637560e+03    15.45       8.3   
1631     5884     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.4   
1631     5895     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.5   
1645     5910     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.5   
1657     5922     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.5   
1681     5946     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.5   
1717     5980     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.5   
1745     6007     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1773     6033     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1801     6061     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1825     6085     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1845     6100     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1861     6116     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1873     6127     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1886     6138     630      53       -1.0200000000e+03    -1.1773010725e+03    15.42       8.6   
1973     6275     681      58       -1.0200000000e+03    -1.1762645827e+03    15.32       8.8   
2028     6387     718      64       -1.0200000000e+03    -1.1750595834e+03    15.20       9.0   
2086     6514     764      66       -1.0200000000e+03    -1.1749409590e+03    15.19       9.1   
2181     6654     803      70       -1.0200000000e+03    -1.1744473271e+03    15.14       9.2   
2224     6769     836      73       -1.0200000000e+03    -1.1741529713e+03    15.11       9.4   
2272     6877     874      50       -1.0200000000e+03    -1.1740733199e+03    15.11       9.5   
2367     6990     935      56       -1.0200000000e+03    -1.1734260493e+03    15.04       9.6   
2438     7122     978      60       -1.0200000000e+03    -1.1730975820e+03    15.01       9.8   
2518     7271     1016     65       -1.0200000000e+03    -1.1730975820e+03    15.01       9.9   
2598     7390     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.0  
2598     7401     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.1  
2612     7416     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.1  
2624     7428     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.1  
2644     7448     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.1  
2664     7468     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.1  
2680     7483     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.2  
2692     7495     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.2  
2712     7515     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.2  
2732     7530     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.2  
2752     7544     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.2  
2770     7557     1072     76       -1.0200000000e+03    -1.1726028253e+03    14.96       10.2  
2867     7689     1122     79       -1.0200000000e+03    -1.1718002344e+03    14.88       10.3  
2934     7799     1165     83       -1.0200000000e+03    -1.1710709978e+03    14.81       10.5  
2993     7933     1206     92       -1.0200000000e+03    -1.1708474626e+03    14.79       10.6  
3085     8064     1242     91       -1.0200000000e+03    -1.1699496641e+03    14.70       10.8  
3171     8189     1298     93       -1.0200000000e+03    -1.1698028828e+03    14.69       10.9  
3263     8317     1364     105      -1.0200000000e+03    -1.1693955454e+03    14.65       11.0  
3356     8449     1399     100      -1.0200000000e+03    -1.1692300385e+03    14.63       11.2  
3459     8578     1464     84       -1.0200000000e+03    -1.1681305585e+03    14.52       11.4  
3558     8698     1527     88       -1.0200000000e+03    -1.1645879972e+03    14.18       11.5  
3649     8813     1592     91       -1.0200000000e+03    -1.1643248629e+03    14.15       11.6  
3732     8940     1647     97       -1.0200000000e+03    -1.1629304243e+03    14.01       11.7  
3812     9061     1703     102      -1.0200000000e+03    -1.1617296355e+03    13.90       11.9  
3910     9206     1751     108      -1.0200000000e+03    -1.1616653772e+03    13.89       12.0  
3983     9316     1798     114      -1.0200000000e+03    -1.1607768924e+03    13.80       12.2  
4102     9458     1851     120      -1.0200000000e+03    -1.1605882107e+03    13.78       12.3  
4176     9569     1911     142      -1.0200000000e+03    -1.1605099321e+03    13.78       12.4  
4280     9688     1971     152      -1.0200000000e+03    -1.1604238001e+03    13.77       12.6  
4367     9807     2024     156      -1.0200000000e+03    -1.1592366402e+03    13.65       12.7  
4455     9931     2080     156      -1.0200000000e+03    -1.1590093485e+03    13.63       12.8  
4555     10053    2132     162      -1.0200000000e+03    -1.1570451169e+03    13.44       12.9  
4663     10169    2196     166      -1.0200000000e+03    -1.1566515444e+03    13.40       13.1  
4755     10281    2252     170      -1.0200000000e+03    -1.1553886813e+03    13.27       13.2  
4836     10395    2299     174      -1.0200000000e+03    -1.1551174065e+03    13.25       13.3  
4940     10522    2349     164      -1.0200000000e+03    -1.1551174065e+03    13.25       13.5  
5030     10647    2413     137      -1.0200000000e+03    -1.1536753755e+03    13.11       13.6  
5128     10800    2459     178      -1.0200000000e+03    -1.1535172704e+03    13.09       13.7  
5208     10925    2509     181      -1.0200000000e+03    -1.1534828100e+03    13.09       13.9  
5302     11040    2565     184      -1.0200000000e+03    -1.1530705660e+03    13.05       14.1  
5401     11165    2618     184      -1.0200000000e+03    -1.1526388289e+03    13.00       14.2  
5488     11282    2669     186      -1.0200000000e+03    -1.1519426821e+03    12.94       14.3  
5583     11396    2720     189      -1.0200000000e+03    -1.1517489700e+03    12.92       14.4  
5684     11518    2771     167      -1.0200000000e+03    -1.1516909465e+03    12.91       14.5  
5765     11636    2816     171      -1.0200000000e+03    -1.1515394414e+03    12.90       14.7  
5871     11761    2874     179      -1.0200000000e+03    -1.1513333019e+03    12.88       14.8  
5968     11890    2929     163      -1.0200000000e+03    -1.1507542339e+03    12.82       15.0  
6070     12002    2983     158      -1.0200000000e+03    -1.1506998686e+03    12.81       15.2  
6147     12119    3030     182      -1.0200000000e+03    -1.1506142539e+03    12.81       15.3  
6251     12235    3100     18       -1.0200000000e+03    -1.1502457989e+03    12.77       15.5  
6332     12355    3145     21       -1.0200000000e+03    -1.1499848634e+03    12.74       15.6  
6439     12468    3216     37       -1.0200000000e+03    -1.1499848634e+03    12.74       15.7  
6557     12598    3264     94       -1.0200000000e+03    -1.1490931996e+03    12.66       15.8  
6664     12718    3323     49       -1.0200000000e+03    -1.1487056242e+03    12.62       15.9  
6770     12833    3391     55       -1.0200000000e+03    -1.1483187195e+03    12.58       16.0  
6893     12959    3448     78       -1.0200000000e+03    -1.1478466933e+03    12.53       16.2  
7007     13075    3520     25       -1.0200000000e+03    -1.1471466592e+03    12.47       16.3  
7118     13200    3591     14       -1.0200000000e+03    -1.1470714164e+03    12.46       16.4  
7220     13342    3633     203      -1.0200000000e+03    -1.1470622366e+03    12.46       16.6  
7307     13465    3688     206      -1.0200000000e+03    -1.1469927903e+03    12.45       16.7  
7439     13599    3740     23       -1.0200000000e+03    -1.1468339159e+03    12.43       16.8  
7563     13722    3804     123      -1.0200000000e+03    -1.1465167470e+03    12.40       17.0  
7688     13853    3875     26       -1.0200000000e+03    -1.1462489565e+03    12.38       17.1  
7818     13975    3935     11       -1.0200000000e+03    -1.1460085538e+03    12.35       17.2  
7948     14091    4009     25       -1.0200000000e+03    -1.1457797946e+03    12.33       17.3  
8070     14221    4083     27       -1.0200000000e+03    -1.1452881938e+03    12.28       17.5  
8202     14342    4157     150      -1.0200000000e+03    -1.1449882718e+03    12.25       17.6  
8329     14475    4224     45       -1.0200000000e+03    -1.1449229490e+03    12.25       17.8  
8442     14607    4291     26       -1.0200000000e+03    -1.1442893767e+03    12.19       18.0  
8561     14733    4352     79       -1.0200000000e+03    -1.1440561058e+03    12.16       18.1  
8686     14862    4427     30       -1.0200000000e+03    -1.1439389032e+03    12.15       18.2  
8816     14990    4495     40       -1.0200000000e+03    -1.1438326697e+03    12.14       18.3  
8947     15114    4570     30       -1.0200000000e+03    -1.1435909747e+03    12.12       18.4  
9079     15242    4634     34       -1.0200000000e+03    -1.1434814870e+03    12.11       18.6  
9210     15368    4707     32       -1.0200000000e+03    -1.1433339204e+03    12.09       18.7  
9322     15492    4773     211      -1.0200000000e+03    -1.1431257755e+03    12.07       18.8  
9437     15620    4826     200      -1.0200000000e+03    -1.1430617067e+03    12.06       18.9  
9568     15747    4897     30       -1.0200000000e+03    -1.1427148306e+03    12.03       19.1  
9693     15869    4964     34       -1.0200000000e+03    -1.1426296060e+03    12.02       19.2  
9829     15994    5038     46       -1.0200000000e+03    -1.1425151190e+03    12.01       19.3  
9950     16126    5113     44       -1.0200000000e+03    -1.1423370909e+03    11.99       19.5  
10075    16250    5184     24       -1.0200000000e+03    -1.1422797035e+03    11.99       19.6  
10220    16391    5251     236      -1.0200000000e+03    -1.1421159368e+03    11.97       19.7  
10372    16533    5317     81       -1.0200000000e+03    -1.1420948963e+03    11.97       19.9  
10529    16672    5376     32       -1.0200000000e+03    -1.1420948963e+03    11.97       20.0  
10650    16792    5449     168      -1.0200000000e+03    -1.1417524831e+03    11.94       20.2  
10767    16908    5516     83       -1.0200000000e+03    -1.1416225857e+03    11.92       20.3  
10895    17023    5582     253      -1.0200000000e+03    -1.1415227192e+03    11.91       20.4  
11012    17135    5643     39       -1.0200000000e+03    -1.1414513522e+03    11.91       20.5  
11116    17244    5705     180      -1.0200000000e+03    -1.1414088497e+03    11.90       20.7  
11238    17363    5771     49       -1.0200000000e+03    -1.1411796353e+03    11.88       20.8  
11370    17487    5851     71       -1.0200000000e+03    -1.1410301229e+03    11.87       21.1  
11500    17611    5933     66       -1.0200000000e+03    -1.1408264645e+03    11.85       21.2  
11639    17737    5998     74       -1.0200000000e+03    -1.1408264645e+03    11.85       21.4  
11777    17867    6080     165      -1.0200000000e+03    -1.1404435199e+03    11.81       21.6  
11925    17997    6148     65       -1.0200000000e+03    -1.1402733953e+03    11.79       21.8  
12067    18124    6232     60       -1.0200000000e+03    -1.1401536503e+03    11.78       22.1  
12210    18257    6309     23       -1.0200000000e+03    -1.1400721935e+03    11.77       22.3  
12355    18386    6382     87       -1.0200000000e+03    -1.1400120331e+03    11.77       22.5  
12475    18499    6462     40       -1.0200000000e+03    -1.1398874976e+03    11.75       22.6  
12620    18635    6529     46       -1.0200000000e+03    -1.1398176385e+03    11.75       22.7  
12763    18762    6602     39       -1.0200000000e+03    -1.1396917209e+03    11.73       22.8  
12898    18888    6671     52       -1.0200000000e+03    -1.1394582167e+03    11.71       22.9  
13040    19017    6747     180      -1.0200000000e+03    -1.1393963592e+03    11.71       23.0  
13200    19151    6821     176      -1.0200000000e+03    -1.1393454839e+03    11.70       23.2  
13329    19284    6894     186      -1.0200000000e+03    -1.1393111748e+03    11.70       23.3  
13476    19415    6973     30       -1.0200000000e+03    -1.1391736836e+03    11.68       23.5  
13608    19546    7041     42       -1.0200000000e+03    -1.1390260406e+03    11.67       23.7  
13737    19671    7120     41       -1.0200000000e+03    -1.1388966202e+03    11.66       23.8  
13881    19809    7200     157      -1.0200000000e+03    -1.1388174703e+03    11.65       24.0  
14015    19933    7274     48       -1.0200000000e+03    -1.1386628554e+03    11.63       24.2  
14172    20067    7351     52       -1.0200000000e+03    -1.1385657827e+03    11.62       24.4  
14311    20193    7430     40       -1.0200000000e+03    -1.1385415203e+03    11.62       24.6  
14459    20328    7502     30       -1.0200000000e+03    -1.1383630843e+03    11.60       24.7  
14610    20456    7577     39       -1.0200000000e+03    -1.1383048583e+03    11.60       24.8  
14748    20586    7667     64       -1.0200000000e+03    -1.1381325025e+03    11.58       25.0  
14891    20715    7746     76       -1.0200000000e+03    -1.1381325025e+03    11.58       25.1  
15042    20851    7823     46       -1.0200000000e+03    -1.1380083428e+03    11.57       25.2  
15162    20979    7901     43       -1.0200000000e+03    -1.1379895984e+03    11.57       25.3  
15292    21198    7915     111      -1.0200000000e+03    -1.1379697493e+03    11.57       25.5  
15447    21329    7984     33       -1.0200000000e+03    -1.1378602339e+03    11.55       25.7  
15589    21467    8052     45       -1.0200000000e+03    -1.1377664295e+03    11.55       25.8  
15704    21617    8113     31       -1.0200000000e+03    -1.1376730851e+03    11.54       26.0  
15864    21755    8197     24       -1.0200000000e+03    -1.1375292571e+03    11.52       26.1  
15960    21916    8241     31       -1.0200000000e+03    -1.1374719586e+03    11.52       26.2  
16107    22044    8314     47       -1.0200000000e+03    -1.1374319009e+03    11.51       26.4  
16273    22180    8382     42       -1.0200000000e+03    -1.1373209385e+03    11.50       26.5  
16382    22343    8449     23       -1.0200000000e+03    -1.1373113844e+03    11.50       26.6  
16542    22481    8517     35       -1.0200000000e+03    -1.1372562322e+03    11.50       26.7  
16675    22623    8576     35       -1.0200000000e+03    -1.1371639383e+03    11.49       26.8  
16813    22783    8636     20       -1.0200000000e+03    -1.1371595218e+03    11.49       27.0  
16956    22926    8707     67       -1.0200000000e+03    -1.1369563842e+03    11.47       27.1  
17080    23086    8767     113      -1.0200000000e+03    -1.1369456041e+03    11.47       27.3  
17197    23213    8820     28       -1.0200000000e+03    -1.1368893866e+03    11.46       27.5  
17311    23339    8896     204      -1.0200000000e+03    -1.1368450493e+03    11.46       27.6  
17438    23473    8953     42       -1.0200000000e+03    -1.1367868027e+03    11.45       27.7  
17560    23609    9025     21       -1.0200000000e+03    -1.1366571166e+03    11.44       27.8  
17704    23746    9091     23       -1.0200000000e+03    -1.1366376193e+03    11.44       27.9  
17844    23878    9153     47       -1.0200000000e+03    -1.1366081384e+03    11.43       28.0  
17968    24006    9221     27       -1.0200000000e+03    -1.1364857649e+03    11.42       28.2  
18096    24138    9289     19       -1.0200000000e+03    -1.1364747853e+03    11.42       28.3  
18244    24282    9367     36       -1.0200000000e+03    -1.1364157763e+03    11.41       28.4  
18372    24409    9437     161      -1.0200000000e+03    -1.1363750736e+03    11.41       28.5  
18490    24531    9507     170      -1.0200000000e+03    -1.1363420921e+03    11.41       28.7  
18624    24672    9575     177      -1.0200000000e+03    -1.1363204702e+03    11.40       28.8  
18762    24802    9645     185      -1.0200000000e+03    -1.1362852843e+03    11.40       29.0  
18910    24938    9719     16       -1.0200000000e+03    -1.1362584735e+03    11.40       29.1  
19044    25068    9793     19       -1.0200000000e+03    -1.1361309611e+03    11.39       29.2  
19185    25205    9870     33       -1.0200000000e+03    -1.1361016247e+03    11.38       29.4  
19339    25336    9944     37       -1.0200000000e+03    -1.1360512684e+03    11.38       29.5  
19473    25470    10008    35       -1.0200000000e+03    -1.1359153311e+03    11.36       29.6  
19600    25599    10079    174      -1.0200000000e+03    -1.1358573033e+03    11.36       29.7  
